1 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
52 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
53 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
54 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
55 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
56 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
57 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
58 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
59 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
60 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
61 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
62 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
63 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
64 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
65 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
66 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
67 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
68 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
69 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
70 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
71 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
72 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
73 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
74 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
75 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
76 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
77 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
78 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
79 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
80 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
81 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
82 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
83 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
84 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
85 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
86 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
87 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
88 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
89 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
90 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
91 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
92 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
93 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
94 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
95 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
96 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
97 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
98 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
99 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
100 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
101 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
102 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
103 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
104 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
105 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
106 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
107 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
108 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
109 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
110 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
111 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
112 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
113 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
114 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
115 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
116 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
117 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
118 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
119 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
120 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
121 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
122 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
123 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
124 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
125 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
126 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
127 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
128 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
129 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
130 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
131 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
132 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
133 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
134 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
135 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
136 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
137 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
138 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
139 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
140 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
141 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
142 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
143 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
144 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
145 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
146 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
147 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
148 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
149 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
150 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
151 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
152 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
153 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
154 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
155 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
156 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
157 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
158 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
159 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
160 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
161 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
162 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
163 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
164 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
165 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
166 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
167 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
168 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
169 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
170 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
171 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
172 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
173 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
174 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
175 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
176 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
177 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
178 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
179 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
180 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
181 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
182 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
183 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
184 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
185 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
186 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
187 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
188 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
189 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
190 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
191 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
192 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
193 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
194 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
195 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
196 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
197 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
198 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
199 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
200 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
201 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
202 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
203 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
204 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
205 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
206 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
207 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
208 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
209 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
210 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
